Client_ID,Age,Gender,Marital_Status,Education,Employment_Status,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Number_of_Dependents,Housing_Status,Default_History,Current_Loan_Status,Previous_Loans,Overdue_Amount,Late_Payments,Bank_Balance,Default_Risk
C100024,38,Female,Divorced,PhD,Employed,122820,74833,12,404,2,Rent,0,Closed,0,60421,2,96281,Medium
C100025,50,Male,Widowed,Bachelors,Employed,187942,256673,48,668,3,Own,0,Closed,7,85132,15,325316,Medium
C100026,29,Male,Single,Bachelors,Unemployed,178287,417548,48,800,4,Mortgage,1,Closed,5,30445,17,195215,High
C100027,39,Female,Widowed,Other,Employed,82110,388043,24,759,2,Mortgage,0,Closed,0,36581,11,128958,Medium
C100028,61,Male,Single,Bachelors,Employed,39215,118398,12,546,4,Rent,0,Closed,8,99354,18,426439,Medium
C100029,42,Male,Divorced,Bachelors,Self-Employed,165096,413417,36,563,3,Mortgage,0,Rejected,0,34920,8,87116,Medium
C100030,66,Male,Widowed,Masters,Retired,96949,443598,240,505,0,Own,0,Approved,3,28503,19,381241,Medium
C100031,44,Male,Divorced,Bachelors,Employed,101855,51129,24,806,1,Mortgage,0,Approved,4,40457,4,242015,Low
C100032,59,Female,Divorced,High School,Retired,196555,300952,48,829,1,Rent,0,Ongoing,8,43791,4,26613,High
C100033,45,Male,Single,PhD,Employed,126279,83346,24,663,1,Rent,0,Approved,1,48406,7,197530,High
C100034,33,Female,Widowed,Masters,Employed,161583,78524,12,639,1,Rent,1,Rejected,8,26926,6,65456,Low
C100035,32,Female,Widowed,Bachelors,Retired,141898,61625,12,706,3,Mortgage,0,Ongoing,0,78859,18,462809,Low
C100036,64,Male,Divorced,High School,Self-Employed,170995,307471,12,752,1,Rent,0,Rejected,3,54939,17,316616,Low
C100037,68,Male,Divorced,PhD,Employed,161630,155651,60,449,3,Mortgage,1,Approved,6,76876,14,473390,Medium
C100038,61,Male,Single,Masters,Retired,20526,26483,12,492,0,Rent,0,Rejected,3,52793,0,163962,Low
C100039,69,Male,Married,High School,Employed,21753,398719,120,446,2,Rent,1,Rejected,7,27265,6,305329,Low
C100040,20,Female,Married,Bachelors,Unemployed,177320,338024,48,705,2,Rent,0,Approved,6,173,18,111917,Low
C100041,54,Female,Divorced,Other,Unemployed,34656,13947,180,482,2,Own,0,Rejected,5,75152,4,152583,Low
C100042,68,Female,Married,Other,Unemployed,43266,145605,48,405,3,Own,0,Ongoing,4,85823,7,303105,High
C100043,24,Male,Married,Masters,Unemployed,84555,183648,60,535,3,Rent,0,Ongoing,9,73046,4,345233,Low
C100044,38,Female,Married,High School,Self-Employed,82995,308060,48,478,3,Rent,1,Closed,2,82368,4,46679,High
C100045,26,Male,Married,PhD,Unemployed,98277,445139,48,731,0,Mortgage,0,Ongoing,7,14389,4,481761,Low
C100046,56,Male,Divorced,High School,Retired,122345,453378,24,700,4,Mortgage,0,Ongoing,3,58794,10,197673,Low
C100047,35,Male,Married,Other,Employed,116111,478945,180,824,3,Own,0,Approved,7,5835,6,312677,Low
C100048,21,Male,Married,Masters,Retired,85402,130468,180,839,3,Mortgage,0,Ongoing,0,27062,1,214666,Medium
C100049,42,Male,Single,Bachelors,Unemployed,143747,465133,12,622,2,Mortgage,0,Approved,1,17165,16,330298,Low
C100050,31,Female,Divorced,High School,Self-Employed,192805,256362,120,560,1,Mortgage,0,Ongoing,1,85488,10,88755,Medium
C100051,67,Female,Widowed,Other,Unemployed,34418,274156,120,698,1,Mortgage,1,Approved,5,24747,19,116425,Low
C100052,26,Male,Widowed,PhD,Unemployed,57185,20213,24,636,0,Own,0,Approved,4,31269,4,219356,Medium
C100053,43,Female,Single,Masters,Self-Employed,61745,425779,120,599,1,Own,0,Rejected,9,11961,6,329776,Medium
C100054,19,Male,Single,Bachelors,Self-Employed,100123,151284,24,418,4,Mortgage,0,Ongoing,9,87055,0,164791,Low
C100055,37,Male,Divorced,High School,Self-Employed,107804,100660,180,712,2,Mortgage,1,Approved,6,70481,8,123239,Low
C100056,45,Male,Widowed,PhD,Self-Employed,188425,327332,180,683,0,Own,0,Ongoing,1,95727,10,73157,Low
C100057,64,Female,Married,Bachelors,Self-Employed,131055,51576,240,779,1,Rent,0,Closed,8,95442,11,443119,Low
C100058,24,Male,Single,Other,Self-Employed,139097,277855,180,604,1,Mortgage,0,Rejected,1,34627,9,344703,Low
C100059,61,Male,Widowed,Other,Employed,68302,494018,120,495,2,Rent,0,Rejected,0,58694,19,214857,Low
C100060,25,Female,Divorced,PhD,Unemployed,142561,254486,48,632,0,Mortgage,0,Approved,1,3919,10,319261,Low
C100061,64,Female,Married,Other,Unemployed,173507,252647,180,319,2,Own,0,Ongoing,2,76402,0,335798,Low
C100062,52,Female,Divorced,Masters,Self-Employed,77728,276659,240,732,0,Mortgage,0,Rejected,5,33316,19,56347,High
C100063,31,Male,Single,PhD,Retired,118598,156265,36,725,1,Rent,0,Rejected,6,54212,4,313436,Medium
C100064,34,Male,Widowed,Other,Self-Employed,21238,203739,12,528,2,Own,1,Rejected,5,60982,14,19122,Medium
C100065,53,Female,Widowed,High School,Employed,101610,138496,36,823,2,Mortgage,0,Approved,0,166,9,355544,Medium
C100066,67,Male,Widowed,Other,Retired,164121,49344,48,516,4,Mortgage,1,Closed,8,11952,11,144867,Low
C100067,57,Female,Widowed,Masters,Employed,77193,199164,60,674,2,Own,0,Approved,7,18784,13,498202,Low
C100068,21,Female,Married,Bachelors,Retired,186656,485575,24,335,0,Mortgage,0,Closed,1,31422,18,481918,Medium
C100069,19,Male,Married,Bachelors,Retired,86634,326739,240,327,4,Own,0,Rejected,0,68706,9,127073,Low
C100070,23,Male,Divorced,Other,Self-Employed,34679,452842,120,671,2,Mortgage,0,Closed,6,42607,11,152883,Low
C100071,59,Female,Married,Bachelors,Employed,54505,276344,120,385,2,Own,1,Approved,2,61089,17,296863,Low
C100072,21,Female,Single,Other,Retired,71341,186541,48,487,4,Mortgage,0,Approved,2,68157,18,274731,Low
C100073,46,Female,Single,Masters,Employed,70374,159103,120,604,1,Own,0,Ongoing,9,62964,3,38787,Low
C100074,35,Female,Widowed,Bachelors,Self-Employed,66998,139288,48,721,2,Own,0,Ongoing,8,36169,18,213551,Low
C100075,43,Male,Single,High School,Self-Employed,195931,443810,240,379,3,Mortgage,0,Approved,1,15293,13,146785,Medium
C100076,61,Female,Divorced,Other,Self-Employed,147203,267160,36,485,1,Own,0,Ongoing,4,95729,7,8975,Low
C100077,51,Female,Married,Bachelors,Self-Employed,53178,107974,60,304,2,Mortgage,0,Rejected,3,71708,3,495291,Low
C100078,27,Female,Married,Masters,Unemployed,178647,424594,24,796,1,Mortgage,0,Closed,0,542,15,6958,Low
C100079,53,Male,Married,Masters,Retired,170401,105927,120,808,0,Mortgage,1,Approved,5,75067,11,91978,Low
C100080,31,Male,Single,High School,Unemployed,127373,429950,60,301,1,Own,0,Approved,5,30246,17,209422,Medium
C100081,48,Female,Married,Masters,Self-Employed,124139,346030,60,516,4,Mortgage,0,Ongoing,0,44544,11,6647,Medium
C100082,65,Male,Widowed,Masters,Retired,120290,119817,60,836,2,Own,0,Approved,6,76473,17,353381,Low
C100083,32,Male,Widowed,Bachelors,Retired,191140,150522,12,556,1,Rent,0,Ongoing,5,28250,3,485981,Low
C100084,25,Male,Widowed,Other,Employed,78951,399689,60,752,3,Rent,0,Rejected,3,24501,15,79031,Medium
C100085,31,Female,Single,PhD,Self-Employed,107629,292669,180,723,0,Rent,0,Approved,6,55494,17,385242,Low
C100086,40,Female,Married,Masters,Unemployed,186243,426788,48,623,0,Mortgage,0,Rejected,2,75957,18,204687,Low
C100087,57,Male,Single,Masters,Employed,159334,309172,12,798,1,Own,0,Rejected,9,71309,15,313472,Low
C100088,38,Female,Married,PhD,Retired,194342,173151,180,496,4,Mortgage,0,Approved,5,80002,2,276120,Low
C100089,33,Female,Divorced,Masters,Unemployed,171857,195039,12,803,0,Own,0,Ongoing,5,82948,16,146751,Low
C100090,62,Male,Divorced,Bachelors,Self-Employed,190541,57047,60,571,1,Rent,0,Ongoing,9,64336,2,209499,Low
C100091,35,Male,Single,Bachelors,Unemployed,88831,297254,120,317,1,Rent,0,Rejected,5,6310,12,184874,High
C100092,64,Female,Widowed,PhD,Unemployed,101223,368184,120,406,0,Rent,0,Ongoing,2,37248,5,424717,High
C100093,41,Male,Single,Masters,Unemployed,65643,124786,120,828,1,Mortgage,0,Ongoing,9,85623,18,225761,Low
C100094,43,Female,Widowed,Masters,Employed,23582,97424,120,424,1,Mortgage,0,Rejected,4,13866,8,358647,Medium
C100095,42,Female,Married,Other,Retired,132781,138018,48,782,3,Own,1,Approved,0,72795,18,50095,Medium
C100096,62,Male,Widowed,Masters,Unemployed,181352,420159,240,303,1,Own,0,Approved,5,18618,10,271427,Low
C100097,58,Female,Widowed,Bachelors,Retired,193661,259568,120,650,1,Rent,1,Closed,6,50765,2,208141,Low
C100098,46,Female,Married,High School,Employed,124004,20740,24,650,4,Mortgage,0,Approved,4,69072,14,296655,Low
C100099,32,Male,Divorced,High School,Self-Employed,60000,490197,60,527,0,Mortgage,0,Ongoing,4,48910,15,200590,Low
C100100,62,Male,Married,High School,Self-Employed,122592,119988,12,315,4,Own,0,Closed,5,16941,2,380641,Low
C100101,18,Male,Single,High School,Unemployed,21085,79712,24,724,2,Own,0,Closed,6,46598,4,161484,Low
C100102,42,Female,Single,Masters,Employed,166672,362546,120,763,4,Mortgage,0,Closed,3,13993,6,34448,Medium
C100103,24,Male,Single,Masters,Self-Employed,117994,442867,24,545,2,Mortgage,0,Approved,6,28786,8,475227,Medium
C100104,26,Male,Single,Other,Employed,137309,42269,12,476,2,Own,0,Closed,4,40198,0,36787,High
C100105,41,Male,Single,Masters,Employed,127114,475370,120,842,4,Mortgage,0,Closed,6,55214,18,333449,Medium
C100106,18,Male,Divorced,High School,Unemployed,192668,226344,24,808,3,Mortgage,0,Closed,0,97274,13,304622,High
C100107,61,Female,Divorced,PhD,Unemployed,90410,305826,48,532,4,Rent,0,Approved,9,82777,14,453136,Low
C100108,25,Female,Widowed,PhD,Employed,46825,125359,48,337,0,Mortgage,0,Approved,1,60365,2,58759,Medium
C100109,41,Male,Single,Bachelors,Employed,161985,160673,60,790,4,Mortgage,0,Approved,1,67346,3,250369,Medium
C100110,28,Female,Married,Bachelors,Unemployed,104269,299994,240,743,3,Mortgage,0,Approved,6,18740,16,352695,Low
C100111,68,Male,Single,Masters,Employed,34332,46132,60,319,4,Own,1,Rejected,8,46937,13,485113,High
C100112,34,Male,Divorced,PhD,Unemployed,74895,448366,180,410,3,Rent,1,Approved,6,79887,6,369078,Low
C100113,25,Female,Single,High School,Retired,155504,141876,24,786,0,Own,0,Ongoing,5,53217,7,170614,Low
C100114,52,Female,Divorced,High School,Employed,177642,257697,12,388,1,Rent,1,Closed,2,77885,15,136388,Medium
C100115,52,Male,Widowed,High School,Unemployed,157175,90061,48,618,3,Rent,0,Approved,4,29377,15,21858,Low
C100116,50,Male,Widowed,Masters,Employed,142046,57034,36,417,3,Mortgage,1,Ongoing,9,32064,13,302293,Medium
C100117,22,Female,Widowed,Masters,Unemployed,166972,312205,240,733,3,Rent,0,Ongoing,1,28015,16,107626,Medium
C100118,59,Male,Divorced,Other,Employed,87567,425635,60,538,0,Rent,1,Ongoing,8,52658,4,56527,Medium
C100119,56,Female,Single,High School,Self-Employed,82713,421962,180,371,2,Mortgage,0,Rejected,5,53539,8,205428,Low
C100120,58,Male,Single,High School,Self-Employed,78639,345492,48,698,3,Mortgage,0,Rejected,8,89250,2,412616,High
C100121,45,Male,Married,Masters,Employed,160060,490438,180,703,0,Rent,0,Rejected,8,88855,4,170915,Medium
C100122,24,Female,Divorced,Masters,Self-Employed,123603,237460,120,550,1,Own,0,Ongoing,6,13636,19,396296,Low
C100123,26,Female,Married,Other,Employed,98488,465797,24,494,3,Rent,0,Approved,4,81270,17,168077,Medium
C100124,25,Female,Widowed,Other,Employed,112905,161408,180,521,2,Own,0,Ongoing,3,86940,9,382793,Medium
C100125,29,Female,Single,Bachelors,Retired,22977,119892,240,481,0,Own,1,Rejected,0,73448,0,488981,Low
C100126,51,Female,Divorced,PhD,Retired,135650,50952,48,555,1,Rent,0,Rejected,8,50304,16,438031,Low
C100127,50,Female,Married,High School,Self-Employed,74641,363140,48,387,2,Own,0,Rejected,5,91064,7,298664,Low
C100128,65,Female,Married,High School,Retired,152340,183215,24,791,1,Rent,0,Approved,1,46728,19,245442,Low
C100129,40,Male,Married,Other,Retired,134465,485420,60,635,2,Own,0,Ongoing,6,95695,16,314779,Low
C100130,41,Male,Single,Other,Employed,74431,393126,60,837,4,Own,0,Rejected,5,2574,17,142429,Low
C100131,54,Male,Single,Bachelors,Unemployed,36756,64379,36,706,4,Rent,0,Ongoing,3,30537,4,490396,Low
C100132,52,Female,Single,PhD,Employed,171836,170392,240,588,4,Mortgage,1,Ongoing,5,52452,6,90816,High
C100133,61,Female,Divorced,Bachelors,Retired,191457,373264,36,661,1,Mortgage,1,Rejected,5,39715,4,435541,High
C100134,57,Female,Single,PhD,Employed,166104,132852,60,740,4,Rent,0,Closed,4,39669,9,80159,Medium
C100135,39,Male,Divorced,High School,Self-Employed,196774,365255,60,329,0,Rent,0,Closed,0,334,5,40627,Medium
C100136,44,Female,Married,Bachelors,Unemployed,162957,497344,240,847,0,Mortgage,0,Closed,2,13186,6,256266,High
C100137,52,Female,Married,Other,Retired,29796,41516,180,522,4,Mortgage,0,Rejected,6,62098,2,276377,Low
C100138,18,Male,Widowed,Bachelors,Retired,124583,195861,240,423,2,Own,0,Ongoing,1,46632,9,146334,Low
C100139,52,Female,Single,Bachelors,Employed,183935,338258,60,514,2,Own,0,Closed,9,22820,5,1555,Low
C100140,54,Male,Married,High School,Employed,101014,256672,60,417,1,Own,0,Approved,9,45498,1,178003,Medium
C100141,64,Male,Single,Other,Employed,183189,389222,48,526,2,Mortgage,0,Closed,0,67266,1,456928,Medium
C100142,31,Female,Divorced,Other,Employed,171825,396801,36,743,3,Rent,0,Approved,7,38023,5,496580,Medium
C100143,20,Female,Married,Masters,Retired,40325,239573,24,848,2,Own,0,Closed,6,96855,17,190632,Low
C100144,18,Female,Single,Masters,Employed,158093,66240,240,736,0,Rent,0,Closed,5,83644,9,389442,Low
C100145,22,Male,Married,Masters,Retired,73096,308942,12,311,2,Mortgage,0,Closed,9,99106,6,347691,Medium
C100146,43,Male,Married,High School,Employed,164143,222687,24,421,1,Own,0,Approved,4,911,16,86001,Low
C100147,31,Male,Single,Bachelors,Unemployed,84649,454136,240,846,2,Mortgage,0,Approved,5,94278,3,71355,Low
C100148,56,Female,Married,Other,Unemployed,28041,385515,120,788,1,Rent,1,Closed,0,95976,11,493537,Medium
C100149,44,Female,Married,Other,Employed,60058,71473,240,550,3,Own,0,Approved,8,31751,7,446558,Low
C100150,26,Female,Married,Bachelors,Employed,68263,201398,12,781,4,Rent,0,Ongoing,0,29627,8,122502,Low
C100151,32,Female,Married,Other,Self-Employed,124820,130811,48,849,3,Rent,0,Closed,3,47883,9,104029,Low
C100152,32,Male,Divorced,Bachelors,Unemployed,127645,471347,120,579,0,Own,1,Ongoing,2,28080,18,251445,Medium
C100153,43,Male,Married,High School,Retired,195542,398640,36,636,3,Own,0,Rejected,3,74063,8,158654,Low
C100154,59,Male,Widowed,High School,Unemployed,48223,199946,12,467,3,Mortgage,0,Rejected,0,96882,3,183889,Low
C100155,30,Male,Married,High School,Retired,53575,114806,60,627,0,Own,0,Rejected,9,57339,15,427788,Medium
C100156,68,Female,Single,Bachelors,Employed,196871,139123,120,545,0,Own,0,Ongoing,3,79683,0,212614,Low
C100157,49,Female,Widowed,Bachelors,Unemployed,41661,106209,48,600,4,Own,0,Approved,3,78242,9,336541,Medium
C100158,56,Female,Divorced,PhD,Unemployed,56432,364022,240,499,4,Own,1,Rejected,2,44840,15,178686,Medium
C100159,66,Male,Widowed,Other,Self-Employed,182219,457697,240,799,2,Own,0,Closed,7,46908,4,191813,Low
C100160,69,Male,Widowed,Other,Self-Employed,49114,462088,12,312,1,Mortgage,0,Closed,6,51167,2,497428,Low
C100161,49,Female,Widowed,PhD,Unemployed,26030,82774,60,665,0,Rent,0,Approved,8,36427,3,246559,Low
C100162,21,Female,Single,PhD,Unemployed,110051,294930,120,396,3,Mortgage,0,Closed,1,78329,9,344196,Low
C100163,47,Male,Single,High School,Unemployed,198501,100204,48,370,3,Rent,1,Ongoing,9,78804,1,380265,Low
C100164,54,Female,Single,PhD,Retired,67743,204302,240,656,4,Own,1,Rejected,2,98702,19,465244,Low
C100165,40,Male,Divorced,Bachelors,Employed,145756,205203,120,843,1,Mortgage,0,Ongoing,5,77122,5,483874,Low
C100166,56,Male,Single,Masters,Self-Employed,85615,137339,12,549,0,Rent,0,Closed,1,80826,13,123642,Low
C100167,62,Male,Single,Bachelors,Employed,67577,464173,60,553,4,Rent,1,Ongoing,1,20481,4,284206,Low
C100168,32,Female,Widowed,PhD,Self-Employed,130436,198717,36,481,1,Own,0,Approved,9,15993,18,256267,High
C100169,60,Female,Single,Other,Self-Employed,22966,24650,180,465,0,Own,0,Ongoing,1,24453,19,120612,Low
C100170,46,Male,Married,Bachelors,Self-Employed,149356,274161,48,303,3,Rent,1,Closed,1,60600,14,29677,Medium
C100171,53,Female,Single,Other,Unemployed,133838,408065,12,762,3,Mortgage,0,Closed,4,32783,16,312363,High
C100172,30,Male,Divorced,Bachelors,Self-Employed,23728,252860,240,444,4,Rent,0,Rejected,0,37142,11,443669,Low
C100173,49,Male,Divorced,Other,Employed,188376,225121,60,464,1,Mortgage,0,Ongoing,6,54622,12,29834,High
C100174,24,Male,Married,Bachelors,Self-Employed,152019,329597,36,643,3,Mortgage,1,Approved,0,50728,19,382806,Low
C100175,68,Male,Divorced,Other,Employed,101380,447333,120,404,1,Rent,0,Rejected,0,32669,15,154860,Medium
C100176,39,Female,Divorced,Masters,Self-Employed,86130,455463,60,847,4,Mortgage,0,Closed,4,13250,14,155913,Medium
C100177,45,Male,Widowed,High School,Self-Employed,41414,443115,180,613,2,Rent,0,Ongoing,6,60278,10,207017,Medium
C100178,19,Male,Married,Bachelors,Unemployed,113005,439860,36,468,1,Rent,1,Approved,2,5174,4,459991,Medium
C100179,59,Female,Widowed,Masters,Employed,170511,72762,12,819,1,Own,0,Closed,6,30927,17,311412,Low
C100180,62,Male,Widowed,High School,Self-Employed,111742,140460,240,735,4,Rent,0,Closed,8,47235,12,175341,Low
C100181,23,Male,Single,Bachelors,Self-Employed,197857,72958,60,811,2,Rent,0,Rejected,3,9571,10,449791,High
C100182,45,Female,Married,Masters,Employed,56973,176066,180,708,3,Own,0,Closed,4,55067,9,204531,Low
C100183,45,Female,Single,Masters,Self-Employed,107091,473021,60,735,0,Own,0,Approved,7,77041,14,221007,Low
C100184,61,Female,Single,Masters,Retired,157161,475929,24,614,4,Mortgage,1,Approved,8,34075,6,196427,Medium
C100185,61,Male,Widowed,PhD,Unemployed,82235,82568,48,841,0,Mortgage,0,Rejected,4,9850,11,165814,Low
C100186,37,Female,Divorced,Other,Employed,49400,339996,60,362,2,Own,0,Rejected,4,70068,17,281009,Low
C100187,47,Female,Married,High School,Unemployed,166477,138915,180,331,2,Own,0,Approved,1,7106,5,488863,Medium
C100188,28,Male,Divorced,Other,Retired,137240,33015,36,510,1,Own,0,Rejected,8,98357,8,127063,Medium
C100189,45,Male,Widowed,Other,Retired,72763,467863,48,762,0,Rent,0,Closed,5,59404,15,72643,Low
C100190,42,Male,Widowed,Other,Retired,181281,443447,12,379,0,Rent,0,Approved,4,87415,7,184553,Low
C100191,56,Male,Widowed,Masters,Employed,168496,485795,180,642,2,Rent,0,Rejected,4,62723,11,229984,Medium
C100192,50,Male,Widowed,Other,Retired,126810,231709,48,531,0,Own,0,Approved,3,16463,18,246289,Low
C100193,18,Female,Widowed,PhD,Employed,109523,51546,24,428,3,Mortgage,0,Closed,0,65464,15,302190,Medium
C100194,44,Female,Widowed,Bachelors,Employed,129955,318199,240,318,2,Mortgage,0,Rejected,5,59867,3,224976,High
C100195,69,Female,Divorced,Masters,Self-Employed,171628,369672,12,656,1,Rent,0,Approved,0,31803,19,427860,Medium
C100196,30,Male,Single,High School,Employed,113137,229478,60,718,1,Rent,0,Closed,9,27694,15,474688,Low
C100197,58,Male,Divorced,Bachelors,Retired,170402,108283,180,380,1,Own,0,Rejected,1,22348,6,214650,Low
C100198,20,Male,Married,Bachelors,Employed,154308,256123,120,417,0,Own,0,Approved,6,21993,12,372973,Medium
C100199,56,Female,Divorced,Bachelors,Employed,50312,316721,12,793,2,Mortgage,0,Closed,0,80585,11,162155,Low
C100200,23,Female,Widowed,Other,Unemployed,133687,171241,180,791,1,Mortgage,0,Closed,7,98052,0,147864,Medium
C100201,25,Male,Divorced,Other,Retired,172263,177781,240,524,2,Own,0,Closed,7,56355,10,327290,Low
C100202,44,Female,Single,Masters,Employed,129602,296559,240,718,0,Mortgage,0,Ongoing,6,60946,16,435486,Low
C100203,26,Male,Married,Other,Self-Employed,56640,413901,12,436,3,Mortgage,0,Closed,6,56575,5,390122,High
C100204,54,Female,Divorced,Other,Employed,120171,283107,24,525,3,Rent,1,Closed,0,49437,1,309203,High
C100205,50,Female,Single,Other,Employed,82293,165770,36,633,3,Own,0,Rejected,2,75304,2,360665,Medium
C100206,68,Female,Divorced,Masters,Unemployed,134124,492902,12,528,0,Own,0,Ongoing,8,25519,1,289170,Low
C100207,59,Male,Married,Masters,Retired,187760,67415,180,622,1,Own,0,Closed,4,89883,17,81117,Low
C100208,61,Female,Divorced,PhD,Retired,105802,61400,240,407,0,Rent,0,Rejected,4,18602,12,309592,Low
C100209,41,Female,Widowed,PhD,Self-Employed,112024,381875,36,744,2,Own,1,Rejected,6,9712,18,149987,Low
C100210,32,Male,Divorced,PhD,Self-Employed,175194,60450,48,306,3,Mortgage,0,Approved,9,85236,6,397424,Medium
C100211,49,Female,Single,PhD,Self-Employed,192296,354106,120,427,2,Rent,0,Approved,7,1984,15,422929,Medium
C100212,49,Male,Divorced,Bachelors,Employed,157403,448927,24,652,0,Rent,0,Ongoing,5,52616,15,105923,Low
C100213,41,Male,Single,Bachelors,Employed,131411,469787,240,566,4,Own,0,Rejected,4,75478,9,80090,Low
C100214,58,Male,Married,PhD,Self-Employed,62262,208679,60,513,4,Mortgage,0,Closed,0,3723,6,184480,Low
C100215,69,Male,Divorced,PhD,Retired,136214,418794,240,546,0,Own,0,Closed,9,67881,19,5189,Medium
C100216,66,Male,Married,High School,Retired,126435,491796,180,673,1,Mortgage,0,Rejected,9,72136,15,320518,Medium
C100217,66,Female,Married,Bachelors,Self-Employed,106314,123639,180,720,2,Own,0,Ongoing,9,1460,9,107520,Medium
C100218,69,Male,Divorced,High School,Unemployed,184998,33842,180,340,0,Mortgage,0,Closed,8,86493,13,286565,Low
C100219,29,Male,Single,High School,Retired,106287,283675,12,647,0,Mortgage,0,Ongoing,5,1208,8,202850,Low
C100220,56,Male,Married,Other,Retired,139318,400386,120,442,4,Mortgage,0,Rejected,2,69331,3,240214,Low
C100221,19,Male,Married,Masters,Self-Employed,150134,488439,120,440,3,Rent,0,Ongoing,9,30991,11,439887,Medium
C100222,20,Female,Divorced,Bachelors,Retired,144958,239494,36,406,3,Own,0,Approved,6,29794,16,475450,Medium
C100223,66,Male,Divorced,PhD,Employed,37528,388987,12,332,1,Own,0,Ongoing,3,92593,7,54305,Medium
C100224,54,Female,Divorced,PhD,Employed,20068,143369,180,499,1,Own,0,Ongoing,2,67203,3,196833,Low
C100225,66,Male,Divorced,Masters,Retired,89253,9163,120,418,1,Rent,0,Closed,6,80498,7,8670,High
C100226,34,Female,Divorced,Bachelors,Employed,100754,45794,240,528,4,Mortgage,0,Ongoing,5,75224,8,96746,Low
C100227,66,Male,Widowed,PhD,Unemployed,195040,46787,180,484,0,Rent,0,Closed,3,56891,11,450782,Low
C100228,19,Male,Divorced,PhD,Retired,110938,375392,180,514,1,Rent,0,Closed,9,60187,15,42675,Low
C100229,19,Female,Single,Other,Self-Employed,199695,324363,180,429,4,Mortgage,1,Approved,7,22923,7,119303,Low
C100230,45,Male,Married,High School,Employed,62129,106243,24,571,2,Own,0,Closed,1,75648,14,71922,Medium
C100231,40,Female,Single,PhD,Unemployed,133996,377368,60,307,0,Rent,0,Rejected,5,12674,16,335959,Low
C100232,54,Male,Single,Bachelors,Unemployed,81321,29448,48,702,2,Mortgage,0,Closed,2,72213,12,365526,Low
C100233,49,Female,Widowed,Masters,Employed,31526,205224,240,668,3,Mortgage,0,Rejected,7,85332,13,213471,Medium
